NODES: 140
ARCS: 2433

NODE
Idn                                      x               y               Type           
2432     F_13                                     H_Parma_1_origin_17                      31.82                USED      
1        H_Milano_2_origin_10                     H_Milano_2_origin_46                     0.00                 NOT USED  
2        H_Milano_2_origin_10                     F_31                                     45.23                NOT USED  
3        H_Milano_2_origin_10                     H_Milano_2_origin_52                     0.00                 NOT USED  
4        H_Milano_2_origin_10                     H_Milano_1_dest_50                       6.31                 NOT USED  
5        H_Milano_2_origin_10                     H_Milano_2_origin_45                     0.00                 NOT USED  
6        H_Milano_2_origin_10                     H_Milano_1_dest_25                       6.31                 NOT USED  
7        H_Milano_2_origin_10                     H_Milano_1_dest_44                       6.31                 NOT USED  
8        H_Milano_2_origin_10                     H_Milano_3_origin_15                     3.73                 NOT USED  
9        H_Milano_2_origin_10                     H_Milano_2_dest_56                       0.00                 NOT USED  
10       H_Milano_2_origin_10                     H_Milano_2_dest_17                       0.00                 NOT USED  
11       H_Milano_2_origin_10                     H_Milano_3_dest_60                       3.73                 NOT USED  
12       H_Milano_2_origin_10                     H_Milano_3_origin_50                     3.73                 NOT USED  
13       H_Milano_2_origin_10                     H_Milano_2_dest_27                       0.00                 NOT USED  
14       H_Milano_2_origin_10                     F_23                                     37.28                NOT USED  
15       H_Milano_2_origin_10                     H_Milano_3_origin_27                     3.73                 NOT USED  
16       H_Milano_2_origin_10                     HUB_2                                    29.86                NOT USED  
17       H_Milano_2_origin_10                     H_Milano_2_dest_6                        0.00                 NOT USED  
18       H_Milano_2_origin_10                     F_22                                     36.27                NOT USED  
19       H_Milano_2_origin_10                     H_Milano_1_origin_2                      6.31                 NOT USED  
20       H_Milano_2_origin_10                     H_Milano_3_dest_46                       3.73                 NOT USED  
21       H_Milano_2_origin_10                     H_Milano_3_origin_41                     3.73                 NOT USED  
22       H_Milano_2_origin_10                     H_Milano_3_origin_18                     3.73                 NOT USED  
23       H_Milano_2_origin_10                     H_Milano_2_origin_8                      0.00                 NOT USED  
24       H_Milano_2_origin_10                     H_Milano_1_dest_11                       6.31                 NOT USED  
25       H_Milano_2_origin_10                     H_Milano_3_origin_13                     3.73                 NOT USED  
26       H_Milano_2_origin_10                     H_Milano_1_dest_53                       6.31                 NOT USED  
27       H_Milano_2_origin_10                     H_Milano_3_dest_43                       3.73                 NOT USED  
28       H_Milano_2_origin_10                     H_Milano_3_origin_25                     3.73                 NOT USED  
30       H_Milano_2_origin_10                     H_Milano_2_dest_33                       0.00                 NOT USED  
31       H_Milano_2_origin_10                     H_Milano_2_dest_57                       0.00                 NOT USED  
32       H_Milano_2_origin_46                     H_Milano_2_origin_10                     0.00                 NOT USED  
33       H_Milano_2_origin_46                     F_31                                     45.23                NOT USED  
34       H_Milano_2_origin_46                     H_Milano_2_origin_52                     0.00                 NOT USED  
35       H_Milano_2_origin_46                     H_Milano_1_dest_50                       6.31                 NOT USED  
36       H_Milano_2_origin_46                     H_Milano_2_origin_45                     0.00                 NOT USED  
37       H_Milano_2_origin_46                     H_Milano_1_dest_25                       6.31                 NOT USED  
38       H_Milano_2_origin_46                     H_Milano_1_dest_44                       6.31                 NOT USED  
39       H_Milano_2_origin_46                     H_Milano_3_origin_15                     3.73                 NOT USED  
40       H_Milano_2_origin_46                     H_Milano_2_dest_56                       0.00                 NOT USED  
41       H_Milano_2_origin_46                     H_Milano_2_dest_17                       0.00                 NOT USED  
42       H_Milano_2_origin_46                     H_Milano_3_dest_60                       3.73                 NOT USED  
43       H_Milano_2_origin_46                     H_Milano_3_origin_50                     3.73                 NOT USED  
44       H_Milano_2_origin_46                     H_Milano_2_dest_27                       0.00                 NOT USED  
45       H_Milano_2_origin_46                     F_23                                     37.28                NOT USED  
46       H_Milano_2_origin_46                     H_Milano_3_origin_27                     3.73                 NOT USED  
47       H_Milano_2_origin_46                     HUB_2                                    29.86                NOT USED  
48       H_Milano_2_origin_46                     H_Milano_2_dest_6                        0.00                 NOT USED  
49       H_Milano_2_origin_46                     F_22                                     36.27                NOT USED  
50       H_Milano_2_origin_46                     H_Milano_1_origin_2                      6.31                 NOT USED  
52       H_Milano_2_origin_46                     H_Milano_3_origin_41                     3.73                 NOT USED  
53       H_Milano_2_origin_46                     H_Milano_3_origin_18                     3.73                 NOT USED  
54       H_Milano_2_origin_46                     H_Milano_2_origin_8                      0.00                 NOT USED  
55       H_Milano_2_origin_46                     H_Milano_1_dest_11                       6.31                 NOT USED  
56       H_Milano_2_origin_46                     H_Milano_3_origin_13                     3.73                 NOT USED  
57       H_Milano_2_origin_46                     H_Milano_1_dest_53                       6.31                 NOT USED  
58       H_Milano_2_origin_46                     H_Milano_3_dest_43                       3.73                 NOT USED  
59       H_Milano_2_origin_46                     H_Milano_3_origin_25                     3.73                 NOT USED  
60       H_Milano_2_origin_46                     H_Milano_1_dest_10                       6.31                 NOT USED  
61       H_Milano_2_origin_46                     H_Milano_2_dest_33                       0.00                 NOT USED  
62       H_Milano_2_origin_46                     H_Milano_2_dest_57                       0.00                 NOT USED  
63       F_31                                     H_Milano_2_origin_10                     45.23                NOT USED  
65       F_31                                     H_Milano_2_origin_46                     45.23                NOT USED  
66       F_31                                     H_Bergamo_1_origin_30                    41.41                NOT USED  
67       F_31                                     F_24                                     41.22                NOT USED  
68       F_31                                     H_Bergamo_2_dest_22                      41.54                NOT USED  
69       F_31                                     H_Milano_2_origin_52                     45.23                NOT USED  
70       F_31                                     H_Bergamo_2_origin_56                    41.54                NOT USED  
71       F_31                                     H_Milano_1_dest_50                       45.24                NOT USED  
72       F_31                                     H_Milano_2_origin_45                     45.23                NOT USED  
74       F_31                                     H_Milano_1_dest_25                       45.24                NOT USED  
75       F_31                                     H_Milano_1_dest_44                       45.24                NOT USED  
76       F_31                                     H_Milano_3_origin_15                     48.65                NOT USED  
80       F_31                                     H_Milano_2_dest_17                       45.23                NOT USED  
81       F_31                                     H_Milano_3_dest_60                       48.65                NOT USED  
82       F_31                                     H_Milano_3_origin_50                     48.65                NOT USED  
83       F_31                                     H_Milano_2_dest_27                       45.23                NOT USED  
85       F_31                                     H_Milano_3_origin_27                     48.65                NOT USED  
88       F_31                                     F_25                                     50.36                NOT USED  
89       F_31                                     HUB_2                                    21.41                NOT USED  
90       F_31                                     H_Milano_2_dest_6                        45.23                NOT USED  
92       F_31                                     H_Milano_1_origin_2                      45.24                NOT USED  
93       F_31                                     H_Milano_3_dest_46                       48.65                NOT USED  
94       F_31                                     H_Milano_3_origin_41                     48.65                NOT USED  
95       F_31                                     H_Bergamo_1_dest_29                      41.41                NOT USED  
96       F_31                                     H_Milano_3_origin_18                     48.65                NOT USED  
97       F_31                                     H_Milano_2_origin_8                      45.23                NOT USED  
98       F_31                                     H_Milano_1_dest_11                       45.24                NOT USED  
99       F_31                                     H_Milano_3_origin_13                     48.65                NOT USED  
100      F_31                                     H_Milano_1_dest_53                       45.24                NOT USED  
102      F_31                                     H_Milano_3_dest_43                       48.65                NOT USED  
103      F_31                                     H_Milano_3_origin_25                     48.65                NOT USED  
104      F_31                                     H_Milano_1_dest_10                       45.24                NOT USED  
105      F_31                                     H_Milano_2_dest_33                       45.23                NOT USED  
