NODES: 160
ARCS: 2996

NODE
Idn                                      x               y               Type           
1770     H_Piacenza_2_origin_68                   F_17                                     48.55                USED      
1780     H_Pavia_5_origin_27                      H_Pavia_9_dest_27                        33.42                USED      
1835     H_Piacenza_2_origin_22                   F_17                                     48.55                USED      
1856     H_Pavia_8_origin_46                      F_16                                     30.62                USED      
1882     HUB_2                                    F_31                                     21.41                USED      
1888     HUB_2                                    H_Milano_3_origin_40                     33.59                USED      
1891     HUB_2                                    H_Milano_2_origin_29                     29.86                USED      
1892     HUB_2                                    H_Milano_1_origin_63                     32.51                USED      
1893     HUB_2                                    H_Milano_1_origin_53                     32.51                USED      
1915     HUB_2                                    H_Milano_3_origin_50                     33.59                USED      
1926     HUB_2                                    F_23                                     29.74                USED      
1946     HUB_2                                    H_Milano_3_origin_11                     33.59                USED      
1947     HUB_2                                    H_Milano_2_origin_59                     29.86                USED      
1970     H_Bergamo_1_origin_58                    H_Bergamo_3_dest_58                      20.08                USED      
2004     F_26                                     H_Cremona_1_dest_28                      29.32                USED      
2006     F_26                                     F_19                                     41.22                USED      
2008     F_26                                     F_33                                     41.22                USED      
2011     F_26                                     F_32                                     50.36                USED      
2016     F_26                                     H_Cremona_2_origin_51                    11.04                USED      
2018     F_26                                     H_Cremona_1_dest_8                       29.32                USED      
2035     F_22                                     H_Pavia_10_dest_63                       22.43                USED      
2036     F_22                                     H_Pavia_9_dest_11                        21.42                USED      
2050     F_22                                     H_Milano_1_dest_6                        41.99                USED      
2051     F_22                                     H_Pavia_9_dest_50                        21.42                USED      
2085     F_39                                     F_33                                     50.30                USED      
2100     F_39                                     H_Bergamo_3_dest_56                      15.80                USED      
2101     F_39                                     H_Bergamo_3_dest_17                      15.80                USED      
2124     H_Bergamo_4_origin_14                    F_32                                     31.81                USED      
2140     H_Bergamo_2_origin_57                    F_31                                     41.54                USED      
2176     H_Milano_2_origin_20                     F_31                                     45.23                USED      
2210     H_Parma_1_origin_1                       F_12                                     38.36                USED      
2240     H_Cremona_1_origin_47                    F_26                                     29.32                USED      
2275     H_Pavia_1_origin_38                      F_10                                     44.69                USED      
2305     H_Milano_3_origin_11                     F_22                                     36.04                USED      
2315     H_Milano_2_origin_59                     F_31                                     45.23                USED      
2344     H_Cremona_1_origin_7                     F_19                                     16.94                USED      
2355     H_Bergamo_1_origin_37                    F_31                                     41.41                USED      
2412     H_Bergamo_1_origin_70                    F_32                                     35.22                USED      
2430     F_10                                     H_Piacenza_1_dest_36                     47.03                USED      
2435     F_10                                     H_Pavia_5_dest_18                        46.78                USED      
2437     F_10                                     F_11                                     29.22                USED      
2456     F_10                                     H_Pavia_1_dest_60                        44.69                USED      
2458     H_Milano_1_origin_28                     F_31                                     45.24                USED      
2486     H_Pavia_9_origin_34                      F_24                                     51.39                USED      
2541     F_30                                     F_23                                     41.22                USED      
2549     F_30                                     H_Milano_2_dest_21                       17.39                USED      
2583     H_Pavia_8_origin_10                      H_Pavia_5_dest_10                        34.82                USED      
2599     F_17                                     H_Pavia_1_dest_22                        30.74                USED      
2604     F_17                                     F_11                                     50.49                USED      
2605     F_17                                     F_23                                     50.42                USED      
2606     F_17                                     F_16                                     29.11                USED      
2608     F_17                                     H_Piacenza_2_dest_39                     48.55                USED      
2611     F_17                                     H_Pavia_1_dest_4                         30.74                USED      
2622     F_17                                     H_Pavia_1_dest_68                        30.74                USED      
2632     H_Parma_1_origin_23                      F_12                                     38.36                USED      
2659     HUB_1                                    F_20                                     8.30                 USED      
2680     HUB_1                                    F_19                                     33.04                USED      
2709     HUB_1                                    F_26                                     46.36                USED      
2714     HUB_1                                    H_Cremona_1_origin_47                    22.87                USED      
2718     HUB_1                                    H_Cremona_1_origin_7                     22.87                USED      
2728     HUB_1                                    F_13                                     49.04                USED      
2760     H_Pavia_9_origin_6                       F_22                                     21.42                USED      
2781     H_Cremona_2_origin_51                    F_19                                     42.61                USED      
2796     F_13                                     F_20                                     41.22                USED      
2798     F_13                                     H_Parma_3_origin_31                      28.59                USED      
2808     F_13                                     H_Parma_3_origin_41                      28.59                USED      
2818     F_13                                     H_Parma_1_origin_1                       31.82                USED      
2822     F_13                                     H_Parma_1_dest_25                        31.82                USED      
2851     H_Parma_1_origin_19                      H_Parma_2_dest_19                        31.34                USED      
2857     F_38                                     F_31                                     41.22                USED      
2862     F_38                                     H_Bergamo_3_origin_44                    24.44                USED      
2864     F_38                                     H_Bergamo_3_origin_62                    24.44                USED      
2866     F_38                                     H_Bergamo_3_origin_45                    24.44                USED      
