NODES: 25
ARCS: 319

NODE
Idn                                      name                           x               y               Type           
257      H_3_origin_5                             H_10_origin_3                            8.40                 NOT USED  
258      H_3_origin_5                             H_7_dest_3                               15.00                NOT USED  
259      H_3_origin_5                             H_3_dest_9                               0.00                 NOT USED  
260      H_3_origin_5                             H_6_origin_8                             9.31                 NOT USED  
261      H_3_origin_5                             H_16_dest_2                              21.80                NOT USED  
262      H_3_origin_5                             H_6_origin_1                             9.31                 NOT USED  
263      H_3_origin_5                             H_10_dest_1                              8.40                 NOT USED  
265      H_3_origin_5                             H_13_origin_7                            26.60                NOT USED  
266      H_3_origin_5                             H_9_dest_4                               6.34                 NOT USED  
267      H_3_origin_5                             H_16_origin_6                            21.80                NOT USED  
268      H_3_origin_5                             H_6_origin_9                             9.31                 NOT USED  
269      H_3_origin_5                             HUB_3                                    12.51                NOT USED  
270      H_3_origin_5                             HUB_1                                    8.39                 NOT USED  
271      H_3_origin_5                             H_8_dest_10                              17.57                NOT USED  
272      H_3_origin_5                             H_17_origin_2                            22.61                NOT USED  
273      H_3_origin_5                             F_18                                     8.32                 NOT USED  
274      H_3_origin_5                             H_15_origin_4                            23.84                NOT USED  
275      H_3_origin_5                             H_1_dest_7                               14.45                NOT USED  
276      H_3_origin_5                             F_26                                     9.50                 NOT USED  
277      H_3_origin_5                             H_8_dest_6                               17.57                NOT USED  
278      H_3_origin_5                             H_22_dest_8                              24.25                NOT USED  
279      H_3_origin_5                             H_2_origin_10                            21.87                NOT USED  
280      H_3_origin_5                             F_33                                     20.41                NOT USED  
281      H_2_origin_10                            H_10_origin_3                            23.06                NOT USED  
282      H_2_origin_10                            H_7_dest_3                               26.15                NOT USED  
283      H_2_origin_10                            H_3_dest_9                               21.87                NOT USED  
284      H_2_origin_10                            H_6_origin_8                             29.18                NOT USED  
285      H_2_origin_10                            H_16_dest_2                              0.09                 NOT USED  
286      H_2_origin_10                            H_6_origin_1                             29.18                NOT USED  
287      H_2_origin_10                            H_10_dest_1                              23.06                NOT USED  
288      H_2_origin_10                            H_9_dest_5                               24.37                NOT USED  
289      H_2_origin_10                            H_9_dest_4                               24.37                NOT USED  
290      H_2_origin_10                            H_16_origin_6                            0.09                 NOT USED  
291      H_2_origin_10                            H_6_origin_9                             29.18                NOT USED  
292      H_2_origin_10                            HUB_3                                    28.42                NOT USED  
293      H_2_origin_10                            HUB_1                                    21.45                NOT USED  
295      H_2_origin_10                            H_15_origin_4                            15.47                NOT USED  
296      H_2_origin_10                            H_1_dest_7                               13.33                NOT USED  
297      H_2_origin_10                            F_26                                     19.28                NOT USED  
298      H_2_origin_10                            H_3_origin_5                             21.87                NOT USED  
299      H_2_origin_10                            H_22_dest_8                              19.72                NOT USED  
300      H_2_origin_10                            F_33                                     18.25                NOT USED  
301      F_33                                     H_10_origin_3                            14.53                NOT USED  
302      F_33                                     H_3_dest_9                               20.41                NOT USED  
303      F_33                                     H_6_origin_8                             29.69                NOT USED  
304      F_33                                     H_16_dest_2                              18.26                NOT USED  
305      F_33                                     H_6_origin_1                             29.69                NOT USED  
306      F_33                                     H_10_dest_1                              14.53                NOT USED  
307      F_33                                     H_9_dest_5                               26.35                NOT USED  
308      F_33                                     H_9_dest_4                               26.35                NOT USED  
309      F_33                                     H_16_origin_6                            18.26                NOT USED  
310      F_33                                     H_6_origin_9                             29.69                NOT USED  
311      F_33                                     HUB_3                                    17.27                NOT USED  
312      F_33                                     HUB_1                                    26.33                NOT USED  
313      F_33                                     H_17_origin_2                            26.20                NOT USED  
314      F_33                                     F_18                                     25.08                NOT USED  
315      F_33                                     H_1_dest_7                               24.44                NOT USED  
316      F_33                                     F_26                                     11.22                NOT USED  
317      F_33                                     H_3_origin_5                             20.41                NOT USED  
319      F_33                                     H_2_origin_10                            18.25                NOT USED  

LEGENDA
Idn: id del nodo
Idn_o: id del nodo origine dell'arco
Idn_d: id del nodo destinazione dell'arco
Ida: id arco
name: nome dell'ospedale/struttura
x: coordinata geografica latitudine
y: coordinata geografica longitudine
Type: nodo HUB, H_ORIGIN (Ospedale di origine), H_DESTINATION (Ospedale di destinazione), FACILITY
Avg_ttime[min.]: tempo medio di viaggio del drone sull'arco, espresso in minuti
Label: USED se l'arco è utilizzato nella soluzione ottima; NOT USED, viceversa.
